Ativo,Tendencia 200 dias,Gap Relevante 7 dias,Rompimento 20 dias,Topos e Fundos,SP500 em baixa,3 Balanço negativo,Setor Fragilizado,negativas de lucro (EPS),Short Float 10,ATR acima da média 3 meses,Histórico com gaps relevantes,proximo Balanco,Total
CB,0,0,1,1,0,1,0,0,0,1,0,2025-07-22,0
IQV,1,0,0,0,0,1,1,0,0,0,0,2025-07-22,0
TMO,0,1,0,0,0,1,1,0,0,0,1,2025-07-23,0
BSX,0,0,0,0,0,1,1,0,0,0,0,2025-07-23,0
HAL,1,0,1,0,0,1,0,0,0,0,0,2025-07-22,0
WY,1,0,1,1,0,0,0,0,0,1,0,2025-07-24,0
HAS,0,1,0,0,0,1,0,0,0,1,1,2025-07-23,1
ROL,0,0,1,0,0,1,0,0,0,1,0,2025-07-23,1
MOH,1,1,0,0,0,0,1,0,0,1,1,2025-07-23,1
MHK,0,1,0,0,0,1,0,0,0,1,1,2025-07-24,0
ARE,1,0,0,0,0,1,0,0,0,0,0,2025-07-21,0
CSX,1,0,0,0,0,1,0,0,0,0,0,2025-07-23,1
STZ,1,0,0,0,0,1,0,0,0,0,0,2025-07-01,0
WST,1,1,0,0,0,0,1,0,0,0,1,2025-07-24,0
DHI,0,1,0,0,0,1,0,0,0,0,1,2025-07-22,0
OTIS,0,1,0,0,0,1,0,0,0,0,1,2025-07-23,1
ALLE,0,1,0,0,0,1,0,0,0,0,1,2025-07-24,0
KDP,0,0,0,0,0,1,0,0,0,1,0,2025-07-24,1
NXPI,0,0,0,0,0,1,0,0,0,1,0,2025-07-21,0
MCO,0,0,0,0,0,1,0,0,0,1,0,2025-07-23,0
DOC,0,0,0,0,0,1,0,0,0,1,0,2025-07-24,0
TXT,0,0,0,0,0,1,0,0,0,1,0,2025-07-24,1
IBM,0,0,0,0,0,1,0,0,0,1,0,2025-07-23,1
HON,0,0,0,0,0,1,0,0,0,1,0,2025-07-24,1
UNP,0,0,0,0,0,1,0,0,0,1,0,2025-07-24,1
URI,0,0,0,0,0,1,0,0,0,1,0,2025-07-23,1
VRSN,0,0,0,0,0,1,0,0,0,1,0,2025-07-24,0
CCI,0,0,0,0,0,1,0,0,0,1,0,2025-07-23,0
DOV,0,0,0,0,0,1,0,0,0,1,0,2025-07-24,1
CSGP,0,0,0,0,0,1,0,0,0,1,0,2025-07-22,1
CMG,0,0,0,0,0,1,0,0,0,1,0,2025-07-23,1
COST,0,0,1,1,0,0,0,0,0,1,0,2025-05-29,1
WBA,0,1,0,0,0,0,1,0,0,1,1,2025-06-25,1
EW,0,1,0,0,0,0,1,0,0,1,1,2025-07-24,1
KMI,0,0,0,0,0,0,0,1,0,1,0,2025-07-16,0
TSCO,0,0,0,0,0,1,0,0,0,0,0,2025-07-24,0
TEL,0,0,0,0,0,1,0,0,0,0,0,2025-07-23,0
NEM,0,0,0,0,0,1,0,0,0,0,0,2025-07-24,0
ORLY,0,0,0,0,0,0,0,1,0,1,0,2025-07-23,0
MSCI,0,0,0,0,0,1,0,0,0,0,0,2025-07-22,1
MMM,0,0,0,0,0,1,0,0,0,0,0,2025-07-18,1
GE,0,0,0,0,0,1,0,0,0,0,0,2025-07-17,0
LH,0,0,0,0,0,0,1,0,0,1,0,2025-07-24,0
DOW,1,0,1,0,0,0,0,0,0,1,0,2025-07-24,1
INTC,1,1,0,0,0,0,0,0,0,1,1,2025-07-24,1
LKQ,1,0,1,0,0,0,0,0,0,1,0,2025-07-24,1
DECK,0,1,1,0,0,0,0,0,0,1,1,2025-07-24,0
IVZ,0,0,0,0,0,1,0,0,1,0,0,2025-07-22,0
TSLA,0,1,1,0,0,0,0,0,0,1,1,2025-07-23,0
LW,1,1,0,0,0,0,0,0,0,0,1,2025-07-23,0
POOL,1,1,0,0,0,0,0,0,1,1,1,2025-07-24,0
FI,0,1,1,0,0,0,0,0,0,0,1,2025-07-23,1
DLR,0,1,0,0,0,0,0,0,0,1,1,2025-07-24,0
PAYX,0,0,1,0,0,0,0,0,0,1,0,2025-06-24,0
GOOG,0,1,0,0,0,0,0,0,0,1,1,2025-07-23,0
GOOGL,0,1,0,0,0,0,0,0,0,1,1,2025-07-23,0
LUV,0,1,0,0,0,0,0,0,0,1,1,2025-07-24,1
TMUS,0,0,1,0,0,0,0,0,0,1,0,2025-07-23,0
NOW,0,1,0,0,0,0,0,0,0,1,1,2025-07-23,1
